T	X	Y	HEADING	NOW_NUM
0.1017	0.0000	0.0000	45.0000	739183.043414
0.2073	0.0000	0.0000	45.0000	739183.043414
0.3269	0.0000	0.0000	45.0000	739183.043414
0.4388	0.0000	0.0000	45.0000	739183.043414
0.5509	0.0000	0.0000	48.0000	739183.043414
0.6582	0.0000	0.0000	63.0000	739183.043414
0.7735	0.0000	0.0000	81.0000	739183.043414
0.8773	-0.0157	0.2996	87.0000	739183.043414
0.9863	-0.0157	0.2996	87.0000	739183.043414
1.0933	-0.0157	0.2996	69.0000	739183.043414
1.2057	-0.0462	0.3681	54.0000	739183.043414
1.3246	-0.0462	0.3681	54.0000	739183.043414
1.4273	-0.0462	0.3681	69.0000	739183.043414
1.5507	-0.0462	0.3681	87.0000	739183.043414
1.6613	-0.0462	0.3681	87.0000	739183.043414
1.7732	-0.0462	0.3681	75.0000	739183.043414
1.8778	-0.0462	0.3681	60.0000	739183.043414
1.9808	-0.0462	0.3681	57.0000	739183.043414
2.0967	-0.0462	0.3681	57.0000	739183.043414
2.2178	-0.0462	0.3681	57.0000	739183.043414
2.3213	-0.0462	0.3681	42.0000	739183.043414
2.4249	-0.0462	0.3681	27.0000	739183.043414
2.5359	-0.3203	0.4901	24.0000	739183.043414
2.6553	-0.7314	0.6732	24.0000	739183.043414
2.7579	-0.8699	0.7305	12.0000	739183.043414
2.8626	-0.8699	0.7305	21.0000	739183.043414
2.9678	-0.8699	0.7305	36.0000	739183.043414
3.0814	-0.8699	0.7305	54.0000	739183.043414
3.1959	-0.8699	0.7305	72.0000	739183.043414
3.3020	-0.8699	0.7305	78.0000	739183.043414
3.4108	-0.8699	0.7305	78.0000	739183.043414
3.5288	-0.8738	0.8054	93.0000	739183.043414
3.6317	-0.8738	0.8054	111.0000	739183.043414
3.7463	-0.6898	1.1321	120.0000	739183.043414
3.8516	-0.5023	1.4568	120.0000	739183.043414
3.9632	-0.3252	1.7870	114.0000	739183.043414
4.0729	-0.2206	2.2228	96.0000	739183.043414
4.1754	-0.2558	2.6697	78.0000	739183.043414
4.2857	-0.3910	3.0988	72.0000	739183.043414
4.3896	-0.5301	3.5267	72.0000	739183.043414
4.4984	-0.6310	3.9639	84.0000	739183.043414
4.5995	-0.6350	4.3388	90.0000	739183.043414
4.7018	-0.6350	4.7888	90.0000	739183.043414
4.8096	-0.6585	5.2373	81.0000	739183.043414
4.9243	-0.8081	5.6598	63.0000	739183.043414
5.0281	-0.9305	5.8483	51.0000	739183.043414
5.1392	-0.9305	5.8483	33.0000	739183.043414
5.2541	-0.9305	5.8483	12.0000	739183.043414
5.3644	-0.9305	5.8483	-3.0000	739183.043414
5.4750	-1.2190	5.7670	-18.0000	739183.043414
5.5878	-1.5756	5.6511	-18.0000	739183.043414
5.6991	-1.7170	5.6011	-30.0000	739183.043414
5.8117	-1.7170	5.6011	-48.0000	739183.043414
5.9146	-1.7170	5.6011	-63.0000	739183.043414
6.0299	-1.7248	5.5265	-84.0000	739183.043414
6.1409	-1.6896	5.0796	-102.0000	739183.043414
6.2567	-1.5127	4.5858	-111.0000	739183.043414
6.3569	-1.3894	4.2319	-105.0000	739183.043414
6.4641	-1.3543	3.7851	-87.0000	739183.043414
6.5665	-1.4589	3.3493	-69.0000	739183.043414
6.6703	-1.6419	2.9382	-66.0000	739183.043414
