T	X	Y	HEADING	NOW_NUM
0.1080	0.0000	0.0000	45.0000	739192.862961
0.2238	0.0000	0.0000	45.0000	739192.862961
0.3410	0.0000	0.0000	45.0000	739192.862961
0.4572	0.0000	0.0000	45.0000	739192.862961
0.5573	0.0000	0.0000	45.0000	739192.862961
0.6724	-0.2121	0.2121	45.0000	739192.862961
0.7848	-0.5834	0.5834	45.0000	739192.862961
0.8866	-0.7581	0.7248	27.0000	739192.862961
0.9983	-0.7581	0.7248	6.0000	739192.862961
1.1112	-1.0549	0.6818	-9.0000	739192.862961
1.2113	-1.4993	0.6114	-9.0000	739192.862961
1.3282	-2.0179	0.5293	-9.0000	739192.862961
1.4445	-2.5364	0.4471	-9.0000	739192.862961
1.5450	-2.9839	0.4158	3.0000	739192.862961
1.6450	-3.4198	0.5205	21.0000	739192.862961
1.7613	-3.8577	0.8048	42.0000	739192.862961
1.8649	-4.1305	1.1604	60.0000	739192.862961
1.9777	-4.2919	1.6570	81.0000	739192.862961
2.0945	-4.3467	2.1791	84.0000	739192.862961
2.1955	-4.3546	2.2537	90.0000	739192.862961
2.3117	-4.3546	2.2537	111.0000	739192.862961
2.4274	-4.3546	2.2537	132.0000	739192.862961
2.5308	-4.3546	2.2537	150.0000	739192.862961
2.6445	-4.3546	2.2537	171.0000	739192.862961
2.7451	-4.3546	2.2537	189.0000	739192.862961
2.8583	-4.3546	2.2537	207.0000	739192.862961
2.9690	-4.3546	2.2537	228.0000	739192.862961
3.0705	-4.2421	2.0589	240.0000	739192.862961
3.1870	-3.9796	1.6042	240.0000	739192.862961
3.2875	-3.6885	1.2634	222.0000	739192.862961
3.3881	-3.5066	1.1312	204.0000	739192.862961
3.4885	-3.5066	1.1312	186.0000	739192.862961
3.5886	-3.5066	1.1312	168.0000	739192.862961
3.6892	-3.5066	1.1312	150.0000	739192.862961
3.7908	-3.5066	1.1312	144.0000	739192.862961
3.8915	-3.5066	1.1312	144.0000	739192.862961
4.0052	-3.5066	1.1312	144.0000	739192.862961
4.1207	-3.5066	1.1312	144.0000	739192.862961
4.2210	-3.1426	1.3957	144.0000	739192.862961
4.3370	-2.7433	1.7341	132.0000	739192.862961
4.4523	-2.7433	1.7341	111.0000	739192.862961
4.5543	-2.7433	1.7341	96.0000	739192.862961
4.6549	-2.6963	2.1817	96.0000	739192.862961
4.7706	-2.6414	2.7038	96.0000	739192.862961
4.8868	-2.6100	3.2270	87.0000	739192.862961
5.0019	-2.6100	3.2270	66.0000	739192.862961
5.1033	-2.6100	3.2270	48.0000	739192.862961
5.2197	-2.6100	3.2270	36.0000	739192.862961
5.3364	-2.6100	3.2270	36.0000	739192.862961
5.4376	-2.6100	3.2270	36.0000	739192.862961
5.5390	-2.6602	3.2827	48.0000	739192.862961
5.6402	-2.9613	3.6171	48.0000	739192.862961
5.7433	-3.2624	3.9515	48.0000	739192.862961
5.8438	-3.5719	4.2777	42.0000	739192.862961
5.9453	-3.5719	4.2777	24.0000	739192.862961
6.0616	-3.5719	4.2777	3.0000	739192.862961
6.1769	-3.7201	4.2542	-9.0000	739192.862961
6.2770	-4.1645	4.1838	-9.0000	739192.862961
6.3779	-4.2386	4.1721	-9.0000	739192.862961
6.4934	-4.2386	4.1721	-9.0000	739192.862961
6.6106	-3.9423	4.2190	-9.0000	739192.862961
6.7111	-3.4979	4.2894	-9.0000	739192.862961
6.8135	-3.0534	4.3598	-9.0000	739192.862961
6.9284	-3.0534	4.3598	-30.0000	739192.862961
7.0418	-3.0534	4.3598	-48.0000	739192.862961
7.1425	-3.2541	4.1369	-48.0000	739192.862961
7.2471	-3.5950	3.8458	-33.0000	739192.862961
7.3686	-4.0824	3.6587	-12.0000	739192.862961
7.4841	-4.5310	3.6352	0.0000	739192.862961
7.5855	-4.9809	3.6312	-3.0000	739192.862961
7.6858	-5.1295	3.6117	-21.0000	739192.862961
7.8005	-5.1295	3.6117	-39.0000	739192.862961
7.9015	-5.1295	3.6117	-54.0000	739192.862961
8.0042	-5.1295	3.6117	-72.0000	739192.862961
8.1089	-5.1295	3.6117	-84.0000	739192.862961
8.2128	-5.1609	3.3133	-84.0000	739192.862961
8.3150	-5.2079	2.8658	-84.0000	739192.862961
8.4342	-5.2628	2.3437	-84.0000	739192.862961
8.5412	-5.3098	1.8961	-84.0000	739192.862961
8.6567	-5.3685	1.4503	-78.0000	739192.862961
8.7578	-5.5366	1.0344	-63.0000	739192.862961
8.8679	-5.7749	0.5666	-63.0000	739192.862961
8.9685	-5.9792	0.1656	-63.0000	739192.862961
