T	X	Y	HEADING	NOW_NUM
0.1023	0.0000	0.0000	45.0000	739192.561160
0.2185	0.0000	0.0000	45.0000	739192.561160
0.3348	0.0000	0.0000	45.0000	739192.561160
0.4505	0.0000	0.0000	45.0000	739192.561160
0.5666	0.0000	0.0000	45.0000	739192.561160
0.6829	0.0000	0.0000	45.0000	739192.561160
0.7987	0.0000	0.0000	45.0000	739192.561160
0.9148	0.0000	0.0000	45.0000	739192.561160
1.0308	-0.3182	0.3182	45.0000	739192.561160
1.1470	-0.6894	0.6894	45.0000	739192.561160
1.2630	-0.7868	0.8035	66.0000	739192.561160
1.3789	-0.7868	0.8035	78.0000	739192.561160
1.4950	-0.7868	0.8035	78.0000	739192.561160
1.6113	-0.7868	0.8035	78.0000	739192.561160
1.7273	-0.7868	0.8035	87.0000	739192.561160
1.8432	-0.7868	0.8035	87.0000	739192.561160
1.9593	-0.7868	0.8035	87.0000	739192.561160
2.0754	-0.7868	0.8035	87.0000	739192.561160
2.1915	-0.7868	0.8035	87.0000	739192.561160
2.3074	-0.7593	0.2792	87.0000	739192.561160
2.4238	-0.7515	0.1294	87.0000	739192.561160
2.5394	-0.7515	0.1294	78.0000	739192.561160
2.6555	-0.7515	0.1294	57.0000	739192.561160
2.7716	-0.7515	0.1294	36.0000	739192.561160
2.8877	-0.7515	0.1294	15.0000	739192.561160
3.0037	-0.7515	0.1294	-6.0000	739192.561160
3.1197	-0.7515	0.1294	-21.0000	739192.561160
3.2359	-0.7515	0.1294	-15.0000	739192.561160
3.3521	-0.7515	0.1294	6.0000	739192.561160
3.4680	-0.7515	0.1294	27.0000	739192.561160
3.5841	-0.7515	0.1294	48.0000	739192.561160
3.7001	-0.8640	0.3242	60.0000	739192.561160
3.8171	-1.1265	0.7789	60.0000	739192.561160
3.9321	-1.3890	1.2336	60.0000	739192.561160
4.0482	-1.6515	1.6882	60.0000	739192.561160
4.1644	-1.8390	2.0130	60.0000	739192.561160
4.2803	-1.8390	2.0130	81.0000	739192.561160
4.3964	-1.8390	2.0130	81.0000	739192.561160
4.5124	-1.8390	2.0130	81.0000	739192.561160
4.6285	-1.8507	2.0871	81.0000	739192.561160
4.7456	-1.9328	2.6056	81.0000	739192.561160
4.8608	-1.9328	2.6056	60.0000	739192.561160
4.9769	-1.9328	2.6056	39.0000	739192.561160
5.0927	-1.9328	2.6056	18.0000	739192.561160
5.2088	-1.9328	2.6056	-3.0000	739192.561160
5.3249	-2.2292	2.5587	-9.0000	739192.561160
5.4413	-2.7477	2.4765	-9.0000	739192.561160
5.5570	-3.2662	2.3944	-9.0000	739192.561160
5.6730	-3.7848	2.3123	-9.0000	739192.561160
5.7890	-4.3038	2.2340	-6.0000	739192.561160
5.9051	-4.8231	2.2886	15.0000	739192.561160
6.0212	-5.3291	2.4283	18.0000	739192.561160
6.1373	-5.5994	2.5572	39.0000	739192.561160
6.2534	-5.5994	2.5572	60.0000	739192.561160
6.3691	-5.6226	2.6285	72.0000	739192.561160
6.4853	-5.7616	3.0565	72.0000	739192.561160
6.6013	-5.7616	3.0565	75.0000	739192.561160
6.7174	-5.7616	3.0565	96.0000	739192.561160
6.8334	-5.7616	3.0565	117.0000	739192.561160
6.9495	-5.7616	3.0565	138.0000	739192.561160
7.0656	-5.7616	3.0565	159.0000	739192.561160
7.1816	-5.7616	3.0565	180.0000	739192.561160
