T	X	Y	HEADING	NOW_NUM
0.1159	0.0000	0.0000	45.0000	739192.564117
0.2322	0.0000	0.0000	45.0000	739192.564117
0.3485	0.0000	0.0000	45.0000	739192.564117
0.4646	0.0000	0.0000	45.0000	739192.564117
0.5809	0.0000	0.0000	45.0000	739192.564117
0.6971	0.0000	0.0000	45.0000	739192.564117
0.8133	0.0000	0.0000	45.0000	739192.564117
0.9296	-0.2121	0.2121	45.0000	739192.564117
1.0458	-0.5834	0.5834	45.0000	739192.564117
1.1621	-0.8677	1.0213	66.0000	739192.564117
1.2783	-0.9763	1.5320	87.0000	739192.564117
1.3945	-0.9763	2.0570	90.0000	739192.564117
1.5108	-0.9763	2.5820	90.0000	739192.564117
1.6271	-0.9763	3.1070	90.0000	739192.564117
1.7433	-1.0848	3.6177	69.0000	739192.564117
1.8595	-1.3692	4.0556	48.0000	739192.564117
1.9759	-1.7916	4.3625	27.0000	739192.564117
2.0922	-2.2960	4.4976	6.0000	739192.564117
2.2083	-2.8203	4.4819	-3.0000	739192.564117
2.3245	-3.3444	4.4780	6.0000	739192.564117
2.4407	-3.8410	4.6393	27.0000	739192.564117
2.5569	-4.1435	4.8591	45.0000	739192.564117
2.6733	-4.1435	4.8591	45.0000	739192.564117
2.7895	-4.1435	4.8591	24.0000	739192.564117
2.9056	-4.1435	4.8591	3.0000	739192.564117
3.0219	-4.1435	4.8591	-18.0000	739192.564117
3.1380	-4.1435	4.8591	-39.0000	739192.564117
3.2544	-4.1435	4.8591	-60.0000	739192.564117
3.3709	-4.1435	4.8591	-81.0000	739192.564117
3.4869	-4.1435	4.8591	-90.0000	739192.564117
3.6030	-4.1435	4.8591	-111.0000	739192.564117
3.7194	-4.1435	4.8591	-132.0000	739192.564117
3.8355	-4.1435	4.8591	-153.0000	739192.564117
3.9518	-3.7869	4.7433	-162.0000	739192.564117
4.0682	-3.2876	4.5810	-162.0000	739192.564117
4.1842	-2.7883	4.4188	-162.0000	739192.564117
4.3006	-2.2890	4.2566	-162.0000	739192.564117
4.4167	-1.7733	4.1749	-180.0000	739192.564117
4.5329	-1.2498	4.1866	-174.0000	739192.564117
4.6492	-0.7533	4.0253	-153.0000	739192.564117
4.7656	-0.3475	3.6967	-132.0000	739192.564117
4.8817	-0.1438	3.3831	-111.0000	739192.564117
4.9980	-0.1282	3.2347	-90.0000	739192.564117
5.1142	-0.2368	2.7240	-69.0000	739192.564117
5.2306	-0.5211	2.2861	-48.0000	739192.564117
5.3468	-0.8724	1.8960	-48.0000	739192.564117
5.4629	-1.1335	1.4438	-69.0000	739192.564117
5.5793	-1.2152	0.9281	-90.0000	739192.564117
5.6953	-1.2112	0.8532	-111.0000	739192.564117
5.8116	-1.2112	0.8532	-132.0000	739192.564117
5.9280	-1.2112	0.8532	-153.0000	739192.564117
6.0442	-1.2112	0.8532	-174.0000	739192.564117
6.1604	-1.2112	0.8532	-195.0000	739192.564117
6.2765	-1.2112	0.8532	-216.0000	739192.564117
6.3929	-1.2112	0.8532	-237.0000	739192.564117
6.5092	-1.2112	0.8532	-258.0000	739192.564117
6.6253	-1.2112	0.8532	-276.0000	739192.564117
6.7416	-1.2112	0.8532	-276.0000	739192.564117
6.8578	-1.2112	0.8532	-288.0000	739192.564117
6.9741	-1.2112	0.8532	-300.0000	739192.564117
7.0904	-1.2487	0.9181	-300.0000	739192.564117
7.2065	-1.5008	1.3782	-294.0000	739192.564117
7.3227	-1.6326	1.8855	-282.0000	739192.564117
7.4389	-1.7418	2.3990	-282.0000	739192.564117
7.5553	-1.8736	2.9062	-291.0000	739192.564117
7.6715	-2.1078	3.2884	-312.0000	739192.564117
7.7878	-2.1078	3.2884	-333.0000	739192.564117
7.9039	-2.1078	3.2884	-354.0000	739192.564117
8.0201	-2.1078	3.2884	-363.0000	739192.564117
8.1363	-2.1078	3.2884	-363.0000	739192.564117
8.2527	-2.1078	3.2884	-363.0000	739192.564117
8.3689	-2.1078	3.2884	-369.0000	739192.564117
8.4851	-2.2396	3.2168	-390.0000	739192.564117
8.6013	-2.6306	2.8700	-408.0000	739192.564117
8.7177	-2.9903	2.4881	-402.0000	739192.564117
8.8338	-3.4425	2.2271	-381.0000	739192.564117
8.9500	-3.9582	2.1454	-360.0000	739192.564117
9.0663	-4.4752	2.2313	-348.0000	739192.564117
9.1826	-4.9906	2.3288	-354.0000	739192.564117
9.2987	-5.5099	2.2742	-375.0000	739192.564117
9.4150	-5.7866	2.1596	-396.0000	739192.564117
9.5312	-5.7866	2.1596	-417.0000	739192.564117
9.6475	-5.7866	2.1596	-438.0000	739192.564117
9.7639	-5.7866	2.1596	-459.0000	739192.564117
9.8799	-5.7866	2.1596	-474.0000	739192.564117
9.9962	-5.7866	2.1596	-474.0000	739192.564117
10.1124	-5.7866	2.1596	-459.0000	739192.564117
10.2287	-5.7552	1.8613	-456.0000	739192.564117
10.3450	-5.7004	1.3391	-456.0000	739192.564117
10.4613	-5.6455	0.8170	-456.0000	739192.564117
10.5775	-5.6728	0.2956	-438.0000	739192.564117
10.6937	-5.8852	-0.1814	-417.0000	739192.564117
0.1160	0.0000	0.0000	45.0000	739197.455668
0.2325	0.0000	0.0000	45.0000	739197.455668
0.3485	0.0000	0.0000	45.0000	739197.455668
0.4647	0.0000	0.0000	45.0000	739197.455668
0.5810	0.0000	0.0000	45.0000	739197.455668
0.6972	0.0000	0.0000	45.0000	739197.455668
0.8136	0.0000	0.0000	45.0000	739197.455668
0.9298	0.0000	0.0000	45.0000	739197.455668
1.0458	0.0000	0.0000	45.0000	739197.455668
1.1622	0.0000	0.0000	45.0000	739197.455668
1.2785	0.0000	0.0000	45.0000	739197.455668
1.3947	0.0000	0.0000	45.0000	739197.455668
1.5109	0.0000	0.0000	45.0000	739197.455668
