T	X	Y	HEADING	NOW_NUM
0.1161	0.0000	0.0000	45.0000	739192.564117
0.2324	0.0000	0.0000	45.0000	739192.564117
0.3488	0.0000	0.0000	45.0000	739192.564117
0.4650	0.0000	0.0000	45.0000	739192.564117
0.5811	0.0000	0.0000	45.0000	739192.564117
0.6974	0.0000	0.0000	45.0000	739192.564117
0.8135	0.0000	0.0000	60.0000	739192.564117
0.9298	-0.1021	0.2005	63.0000	739192.564117
1.0460	-0.3405	0.6683	63.0000	739192.564117
1.1622	-0.5788	1.1360	63.0000	739192.564117
1.2786	-0.9074	1.5418	42.0000	739192.564117
1.3950	-1.3154	1.8722	39.0000	739192.564117
1.5110	-1.7156	2.2114	45.0000	739192.564117
1.6272	-1.8130	2.3254	66.0000	739192.564117
1.7436	-1.8130	2.3254	87.0000	739192.564117
1.8597	-1.7469	2.6178	105.0000	739192.564117
1.9760	-1.6110	3.1249	105.0000	739192.564117
2.0922	-1.5370	3.4918	90.0000	739192.564117
2.2084	-1.5370	3.4918	69.0000	739192.564117
2.3246	-1.5370	3.4918	48.0000	739192.564117
2.4409	-1.5370	3.4918	27.0000	739192.564117
2.5571	-1.5370	3.4918	6.0000	739192.564117
2.6736	-2.0619	3.4957	0.0000	739192.564117
2.7896	-2.5869	3.4957	0.0000	739192.564117
2.9058	-3.1119	3.4957	0.0000	739192.564117
3.0221	-3.6369	3.4957	0.0000	739192.564117
3.1385	-4.1619	3.4957	0.0000	739192.564117
3.2546	-4.6869	3.4957	0.0000	739192.564117
3.3708	-5.2119	3.4957	0.0000	739192.564117
3.4870	-5.3619	3.4957	3.0000	739192.564117
3.6033	-5.3619	3.4957	24.0000	739192.564117
3.7195	-5.3619	3.4957	45.0000	739192.564117
3.8357	-5.3619	3.4957	60.0000	739192.564117
3.9520	-5.3619	3.4957	45.0000	739192.564117
4.0682	-5.3619	3.4957	24.0000	739192.564117
4.1845	-5.3619	3.4957	3.0000	739192.564117
4.3007	-5.3619	3.4957	-18.0000	739192.564117
4.4170	-5.3619	3.4957	-39.0000	739192.564117
4.5333	-5.3619	3.4957	-60.0000	739192.564117
4.6494	-5.3619	3.4957	-81.0000	739192.564117
4.7656	-5.3619	3.4957	-90.0000	739192.564117
4.8819	-5.3619	3.1957	-90.0000	739192.564117
4.9984	-5.3619	3.1957	-90.0000	739192.564117
5.1145	-5.3619	3.3457	-90.0000	739192.564117
5.2306	-5.3619	3.8707	-90.0000	739192.564117
5.3471	-5.3619	4.0957	-102.0000	739192.564117
5.4631	-5.3619	4.0957	-123.0000	739192.564117
5.5793	-5.3619	4.0957	-144.0000	739192.564117
5.6956	-5.3619	4.0957	-165.0000	739192.564117
5.8118	-5.3619	4.0957	-186.0000	739192.564117
5.9281	-5.3619	4.0957	-201.0000	739192.564117
6.0444	-5.3619	4.0957	-201.0000	739192.564117
6.1605	-5.3619	4.0957	-201.0000	739192.564117
6.2769	-5.3619	4.0957	-207.0000	739192.564117
6.3931	-5.3619	4.0957	-228.0000	739192.564117
6.5094	-5.1985	4.3473	-237.0000	739192.564117
6.6255	-4.9126	4.7876	-237.0000	739192.564117
6.7417	-4.6170	5.2211	-231.0000	739192.564117
6.8581	-4.6170	5.2211	-210.0000	739192.564117
6.9742	-4.3972	5.2678	-189.0000	739192.564117
7.0904	-3.8731	5.2639	-177.0000	739192.564117
7.2067	-3.3488	5.2364	-177.0000	739192.564117
7.3230	-2.8244	5.2207	-183.0000	739192.564117
7.4392	-2.8244	5.2207	-186.0000	739192.564117
7.5554	-2.9736	5.2050	-186.0000	739192.564117
7.6717	-3.4957	5.1501	-186.0000	739192.564117
7.7880	-3.7195	5.1266	-186.0000	739192.564117
7.9040	-3.7195	5.1266	-186.0000	739192.564117
8.0204	-3.7195	5.1266	-174.0000	739192.564117
8.1366	-3.7195	5.1266	-162.0000	739192.564117
8.2530	-3.8621	5.1730	-162.0000	739192.564117
8.3690	-4.3614	5.3352	-162.0000	739192.564117
8.4853	-4.5041	5.3816	-162.0000	739192.564117
8.6016	-4.5041	5.3816	-162.0000	739192.564117
8.7178	-4.5041	5.3816	-162.0000	739192.564117
8.8341	-4.5041	5.3816	-144.0000	739192.564117
8.9503	-4.5041	5.3816	-138.0000	739192.564117
9.0665	-4.5041	5.3816	-138.0000	739192.564117
9.1827	-4.5041	5.3816	-129.0000	739192.564117
9.2989	-4.5041	5.3816	-108.0000	739192.564117
9.4153	-4.3682	4.8745	-105.0000	739192.564117
9.5317	-4.2488	4.5197	-120.0000	739192.564117
9.6478	-4.2488	4.5197	-141.0000	739192.564117
9.7640	-4.2488	4.5197	-162.0000	739192.564117
9.8802	-4.1775	4.4965	-162.0000	739192.564117
9.9965	-3.6782	4.3343	-162.0000	739192.564117
10.1126	-3.1789	4.1721	-162.0000	739192.564117
