MAZE_FILE_INDEX	BLOCK	TOUR_HAND	IS_COMPLETE	DELTA_T	N_ERRORS	EOL_RATING	JOL_RATING	RCJ_RATING	PLAYER_LIN_VEL	PLAYER_RAD_VEL	PLAYER_BODY_RADIUS	N_PRAC_TRIALS	N_BLOCKS	TOUR_LIN_VEL	TOUR_RAD_VEL	FRAME_RATE	PERSPEC_ANGLE	EYE_LEVEL	COORD_T_INTERVAL	COORD_MAX_T	N_ROWS	N_COLS	NOW_NUM	DATE
4	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.895777	09-Nov-2023 21:29:55
5	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.895777	09-Nov-2023 21:29:55
15	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.895777	09-Nov-2023 21:29:55
9	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.895777	09-Nov-2023 21:29:55
1	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.895777	09-Nov-2023 21:29:55
10	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.895777	09-Nov-2023 21:29:55
20	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.895777	09-Nov-2023 21:29:55
2	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.895777	09-Nov-2023 21:29:55
17	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.895777	09-Nov-2023 21:29:55
3	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.895777	09-Nov-2023 21:29:55
18	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.895777	09-Nov-2023 21:29:55
8	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.895777	09-Nov-2023 21:29:55
6	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.895777	09-Nov-2023 21:29:55
12	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.895777	09-Nov-2023 21:29:55
13	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.895777	09-Nov-2023 21:29:55
5	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.995084	09-Nov-2023 23:52:55
9	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.995084	09-Nov-2023 23:52:55
18	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.995084	09-Nov-2023 23:52:55
14	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.995084	09-Nov-2023 23:52:55
6	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.995084	09-Nov-2023 23:52:55
16	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.995084	09-Nov-2023 23:52:55
8	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.995084	09-Nov-2023 23:52:55
15	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.995084	09-Nov-2023 23:52:55
12	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.995084	09-Nov-2023 23:52:55
3	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.995084	09-Nov-2023 23:52:55
11	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.995084	09-Nov-2023 23:52:55
1	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.995084	09-Nov-2023 23:52:55
17	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.995084	09-Nov-2023 23:52:55
4	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.995084	09-Nov-2023 23:52:55
10	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.995084	09-Nov-2023 23:52:55
2	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.995084	09-Nov-2023 23:52:55
19	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.995084	09-Nov-2023 23:52:55
13	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.995084	09-Nov-2023 23:52:55
20	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.995084	09-Nov-2023 23:52:55
7	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.995084	09-Nov-2023 23:52:55
4	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.996081	09-Nov-2023 23:54:21
10	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.996081	09-Nov-2023 23:54:21
15	1	1	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.996081	09-Nov-2023 23:54:21
16	1	2	0	0.0000	0	0	0	0	0.0750	3.0000	0.1250	1	1	0.0750	3.0000	60.0000	55.0000	-0.4000	0.1000	240.0000	800	600	739199.996081	09-Nov-2023 23:54:21
