FPOGX,FPOGY,FPOGV,CX,CY
0,0,0,0,0
0.0,0.0,0.0,0.60312,0.60278
0.0,0.0,0.0,0.625,0.62593
0.0,0.0,0.0,0.625,0.62593
0.0,0.0,0.0,0.625,0.62593
0.0,0.0,0.0,0.63177,0.63333
0.0,0.0,0.0,0.63177,0.63333
0.0,0.0,0.0,0.63646,0.63889
0.0,0.0,0.0,0.63646,0.63889
0.0,0.0,0.0,0.63906,0.64352
0.0,0.0,0.0,0.63906,0.64352
0.0,0.0,0.0,0.64479,0.65185
0.0,0.0,0.0,0.64479,0.65185
0.0,0.0,0.0,0.66198,0.66574
0.0,0.0,0.0,0.66198,0.66574
0.0,0.0,0.0,0.66198,0.66574
0.0,0.0,0.0,0.69948,0.68889
0.0,0.0,0.0,0.69948,0.68889
0.0,0.0,0.0,0.72969,0.70741
0.0,0.0,0.0,0.72969,0.70741
0.0,0.0,0.0,0.72969,0.70741
0.0,0.0,0.0,0.75208,0.71944
0.0,0.0,0.0,0.75208,0.71944
0.0,0.0,0.0,0.75625,0.7213
0.0,0.0,0.0,0.75625,0.7213
0.0,0.0,0.0,0.75625,0.72222
0.0,0.0,0.0,0.75625,0.72222
0.0,0.0,0.0,0.75677,0.72222
0.0,0.0,0.0,0.75677,0.72222
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
0.0,0.0,0.0,0.75729,0.72315
